image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_1457d64a4a,simulated_camera,2026-06-10T08:10:05,demo_script,data\raw_images\img_1457d64a4a.jpg,data\processed_images\img_1457d64a4a_processed_steps.jpg,640,360,233.51,processed,16.12,demo_frame=0
img_dc622448e2,simulated_camera,2026-06-10T08:10:05,demo_script,data\raw_images\img_dc622448e2.jpg,data\processed_images\img_dc622448e2_processed_steps.jpg,640,360,233.51,processed,8.01,demo_frame=1
img_76c052ed63,camera:no_camera_fallback,2026-06-10T08:10:07,motion_capture,data\raw_images\img_76c052ed63.jpg,data\processed_images\img_76c052ed63_processed_steps.jpg,640,360,233.51,processed,12.78,"motion_score=1162.0, threshold=25, min_area=800"
img_dcced84251,camera:0,2026-06-10T08:13:06,camera,data\raw_images\img_dcced84251.jpg,data\processed_images\img_dcced84251_processed_steps.jpg,640,480,168.37,processed,13.22,snapshot button
img_1051f36e29,simulated_camera,2026-06-10T08:45:25,demo_script,data\raw_images\img_1051f36e29.jpg,data\processed_images\img_1051f36e29_advanced_steps.jpg,640,360,155.41,141.29,processed,15.06,demo_frame=0
img_79e39331b1,simulated_camera,2026-06-10T08:45:25,demo_script,data\raw_images\img_79e39331b1.jpg,data\processed_images\img_79e39331b1_advanced_steps.jpg,640,360,155.57,133.01,processed,11.43,demo_frame=1
img_922ab8b16a,simulated_camera,2026-06-10T08:45:25,demo_script,data\raw_images\img_922ab8b16a.jpg,data\processed_images\img_922ab8b16a_advanced_steps.jpg,640,360,156.3,2.03,processed,11.18,ROI center 50%
img_eae82b8bb5,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_eae82b8bb5.jpg,data\processed_images\img_eae82b8bb5_advanced_steps.jpg,640,360,156.73,159.64,processed,13.62,threshold_test=80
img_ebb74a7bf5,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_ebb74a7bf5.jpg,data\processed_images\img_ebb74a7bf5_advanced_steps.jpg,640,360,157.82,160.93,processed,12.83,threshold_test=120
img_85e060c793,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_85e060c793.jpg,data\processed_images\img_85e060c793_advanced_steps.jpg,640,360,155.39,159.88,processed,10.61,threshold_test=180
img_40064fc64b,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_40064fc64b.jpg,data\processed_images\img_40064fc64b_advanced_steps.jpg,640,360,157.53,153.79,processed,9.91,canny_test=50/100
img_8d014cdd39,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_8d014cdd39.jpg,data\processed_images\img_8d014cdd39_advanced_steps.jpg,640,360,157.67,161.67,processed,11.32,canny_test=80/160
img_2cfa0a4766,simulated_camera,2026-06-10T08:45:25,param_experiment,data\raw_images\img_2cfa0a4766.jpg,data\processed_images\img_2cfa0a4766_advanced_steps.jpg,640,360,156.5,154.06,processed,9.05,canny_test=150/250
img_e508b2d3db,camera:no_camera_fallback,2026-06-10T08:45:27,motion_capture,data\raw_images\img_e508b2d3db.jpg,data\processed_images\img_e508b2d3db_advanced_steps.jpg,640,360,157.25,148.23,processed,19.59,"motion_score=0.0, threshold=15, min_area=500, cooldown=0"
img_bea07bf147,camera:no_camera_fallback,2026-06-10T08:45:28,motion_capture,data\raw_images\img_bea07bf147.jpg,data\processed_images\img_bea07bf147_advanced_steps.jpg,640,360,157.25,148.23,processed,13.43,"motion_score=0.0, threshold=25, min_area=800, cooldown=1"
img_c68e804d86,camera:no_camera_fallback,2026-06-10T08:45:29,motion_capture,data\raw_images\img_c68e804d86.jpg,data\processed_images\img_c68e804d86_advanced_steps.jpg,640,360,157.25,148.23,processed,15.38,"motion_score=0.0, threshold=40, min_area=1500, cooldown=5"
img_cafff8be15,camera:0,2026-06-10T08:46:22,motion_capture,data\raw_images\img_cafff8be15.jpg,data\processed_images\img_cafff8be15_advanced_steps.jpg,640,480,162.88,139.93,processed,32.23,"motion_score=1446.5, threshold=25, min_area=800, cooldown=1.0"
img_a577eeb084,camera:0,2026-06-10T08:46:31,motion_capture,data\raw_images\img_a577eeb084.jpg,data\processed_images\img_a577eeb084_advanced_steps.jpg,640,480,159.31,137.38,processed,29.12,"motion_score=2817.0, threshold=25, min_area=800, cooldown=1.0"
img_49054198b2,camera:0,2026-06-10T08:46:35,camera,data\raw_images\img_49054198b2.jpg,data\processed_images\img_49054198b2_advanced_steps.jpg,640,480,163.07,154.84,processed,34.27,snapshot | threshold=120 | canny=80/160 | roi=None
img_5b9176d41f,camera:0,2026-06-10T08:46:38,camera,data\raw_images\img_5b9176d41f.jpg,data\processed_images\img_5b9176d41f_advanced_steps.jpg,640,480,163.64,139.18,processed,30.31,snapshot | threshold=120 | canny=80/160 | roi=None
img_fdd7794fce,camera:0,2026-06-10T08:46:40,motion_capture,data\raw_images\img_fdd7794fce.jpg,data\processed_images\img_fdd7794fce_advanced_steps.jpg,640,480,0.0,3.55,processed,27.0,"motion_score=76241.0, threshold=25, min_area=800, cooldown=1.0"
img_b19e4eb8ee,camera:0,2026-06-10T08:46:48,motion_capture,data\raw_images\img_b19e4eb8ee.jpg,data\processed_images\img_b19e4eb8ee_advanced_steps.jpg,640,360,155.64,154.99,processed,24.36,"motion_score=29094.5, threshold=25, min_area=800, cooldown=1.0"
img_d7b31a93c8,camera:0,2026-06-10T08:46:56,motion_capture,data\raw_images\img_d7b31a93c8.jpg,data\processed_images\img_d7b31a93c8_advanced_steps.jpg,640,480,164.7,135.82,processed,28.63,"motion_score=30670.0, threshold=25, min_area=800, cooldown=1.0"
img_1c77565a16,camera:0,2026-06-10T08:46:56,motion_capture,data\raw_images\img_1c77565a16.jpg,data\processed_images\img_1c77565a16_advanced_steps.jpg,640,360,157.88,255.14,processed,22.39,"motion_score=6936.5, threshold=25, min_area=800, cooldown=1.0"
img_a3848bf53a,camera:0,2026-06-10T08:46:56,motion_capture,data\raw_images\img_a3848bf53a.jpg,data\processed_images\img_a3848bf53a_advanced_steps.jpg,640,360,157.88,255.14,processed,26.99,"motion_score=6936.5, threshold=25, min_area=800, cooldown=1.0"
img_0276b8bf6e,camera:0,2026-06-10T08:46:57,motion_capture,data\raw_images\img_0276b8bf6e.jpg,data\processed_images\img_0276b8bf6e_advanced_steps.jpg,640,480,164.7,135.82,processed,33.65,"motion_score=31177.5, threshold=25, min_area=800, cooldown=1.0"
img_4f3dcd5d39,camera:0,2026-06-10T09:41:08,camera,data\raw_images\img_4f3dcd5d39.jpg,data\processed_images\img_4f3dcd5d39_advanced_steps.jpg,640,480,176.25,91.4,processed,18.69,"snapshot | threshold=80 | canny=80/160 | roi=(160, 90, 480, 270)"
img_94c2861416,camera:0,2026-06-10T09:41:09,camera,data\raw_images\img_94c2861416.jpg,data\processed_images\img_94c2861416_advanced_steps.jpg,640,480,172.93,75.87,processed,11.69,"snapshot | threshold=120 | canny=80/160 | roi=(160, 90, 480, 270)"
img_bec00e60c9,camera:0,2026-06-10T09:41:10,camera,data\raw_images\img_bec00e60c9.jpg,data\processed_images\img_bec00e60c9_advanced_steps.jpg,640,480,0.0,0.0,processed,12.74,"snapshot | threshold=120 | canny=50/100 | roi=(160, 90, 480, 270)"
img_1d49740e4f,camera:0,2026-06-10T09:41:11,camera,data\raw_images\img_1d49740e4f.jpg,data\processed_images\img_1d49740e4f_advanced_steps.jpg,640,480,0.0,0.0,processed,18.61,"snapshot | threshold=180 | canny=50/100 | roi=(160, 90, 480, 270)"
img_ba627e5a35,camera:0,2026-06-10T09:41:11,simulated,data\raw_images\img_ba627e5a35.jpg,data\processed_images\img_ba627e5a35_advanced_steps.jpg,640,360,155.86,1.36,processed,18.93,"snapshot | threshold=180 | canny=80/160 | roi=(160, 90, 480, 270)"
img_c59a058866,camera:0,2026-06-10T09:41:12,camera,data\raw_images\img_c59a058866.jpg,data\processed_images\img_c59a058866_advanced_steps.jpg,640,480,178.94,87.27,processed,19.27,"snapshot | threshold=180 | canny=150/250 | roi=(160, 90, 480, 270)"
img_a8e95c6c07,camera:0,2026-06-10T09:41:14,motion_capture,data\raw_images\img_a8e95c6c07.jpg,data\processed_images\img_a8e95c6c07_advanced_steps.jpg,640,360,155.35,1.72,processed,12.26,"motion_score=2032.5, threshold=15, min_area=500, cooldown=0.0"
img_03cef1662b,camera:0,2026-06-10T09:41:18,motion_capture,data\raw_images\img_03cef1662b.jpg,data\processed_images\img_03cef1662b_advanced_steps.jpg,640,480,169.27,76.4,processed,13.55,"motion_score=1786.0, threshold=25, min_area=800, cooldown=1.0"
img_dd7d82a6ee,camera:0,2026-06-10T09:41:22,motion_capture,data\raw_images\img_dd7d82a6ee.jpg,data\processed_images\img_dd7d82a6ee_advanced_steps.jpg,640,360,155.68,2.53,processed,12.01,"motion_score=0.0, threshold=40, min_area=1500, cooldown=5.0"
img_348415749f,camera:0,2026-06-10T10:19:16,camera,data\raw_images\img_348415749f.jpg,data\processed_images\img_348415749f_advanced_steps.jpg,640,480,139.2,93.47,processed,19.89,"snapshot | threshold=186 | canny=150/250 | roi=(160, 90, 480, 270)"
img_0562ac57f4,camera:0,2026-06-10T10:19:24,camera,data\raw_images\img_0562ac57f4.jpg,data\processed_images\img_0562ac57f4_advanced_steps.jpg,640,480,94.68,43.69,processed,18.57,"snapshot | threshold=186 | canny=150/250 | roi=(160, 90, 480, 270)"
