exp_id,timestamp,image_id,roi_x1,roi_y1,roi_x2,roi_y2,threshold_value,canny_low,canny_high,motion_threshold,min_area,cooldown_sec,brightness,blur_score,motion_score,event_type,note
exp_39358ed5,2026-06-10T08:45:25,img_eae82b8bb5,,,,,80,80,160,25,800,1.0,156.73,159.64,0,IMAGE_QUALITY_OK,threshold_sweep thresh=80
exp_cf879108,2026-06-10T08:45:25,img_ebb74a7bf5,,,,,120,80,160,25,800,1.0,157.82,160.93,0,IMAGE_QUALITY_OK,threshold_sweep thresh=120
exp_55434bfd,2026-06-10T08:45:25,img_85e060c793,,,,,180,80,160,25,800,1.0,155.39,159.88,0,IMAGE_QUALITY_OK,threshold_sweep thresh=180
exp_9d9da032,2026-06-10T08:45:25,img_40064fc64b,,,,,120,50,100,25,800,1.0,157.53,153.79,0,IMAGE_QUALITY_OK,canny_sweep 50/100
exp_6dcd87d5,2026-06-10T08:45:25,img_8d014cdd39,,,,,120,80,160,25,800,1.0,157.67,161.67,0,IMAGE_QUALITY_OK,canny_sweep 80/160
exp_0a6d0bf1,2026-06-10T08:45:25,img_2cfa0a4766,,,,,120,150,250,25,800,1.0,156.5,154.06,0,IMAGE_QUALITY_OK,canny_sweep 150/250
exp_bbdb6f72,2026-06-10T08:45:27,img_e508b2d3db,,,,,120,80,160,15,500,0,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_e6a39c1b,2026-06-10T08:45:28,img_bea07bf147,,,,,120,80,160,25,800,1,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_42014e69,2026-06-10T08:45:29,img_c68e804d86,,,,,120,80,160,40,1500,5,157.25,148.23,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=12, suppressed=False"
exp_fa8de0b4,2026-06-10T08:46:22,img_cafff8be15,,,,,120,80,160,25,800,1.0,162.88,139.93,1446.5,MOTION_DETECTED,"frames_seen=94, suppressed=False"
exp_62917a63,2026-06-10T08:46:31,img_a577eeb084,,,,,120,80,160,25,800,1.0,159.31,137.38,2817.0,MOTION_DETECTED,"frames_seen=88, suppressed=False"
exp_9863ca7e,2026-06-10T08:46:35,img_49054198b2,,,,,120,80,160,0,0,0,163.07,154.84,0,IMAGE_QUALITY_OK,snapshot
exp_eb24e8fb,2026-06-10T08:46:38,img_5b9176d41f,,,,,120,80,160,0,0,0,163.64,139.18,0,IMAGE_QUALITY_OK,snapshot
exp_f700f73b,2026-06-10T08:46:40,img_fdd7794fce,,,,,120,80,160,25,800,1.0,0.0,3.55,76241.0,MOTION_DETECTED,"frames_seen=57, suppressed=False"
exp_cf5d931f,2026-06-10T08:46:48,img_b19e4eb8ee,,,,,120,80,160,25,800,1.0,155.64,154.99,29094.5,MOTION_DETECTED,"frames_seen=85, suppressed=False"
exp_68345b42,2026-06-10T08:46:56,img_d7b31a93c8,,,,,120,80,160,25,800,1.0,164.7,135.82,30670.0,MOTION_DETECTED,"frames_seen=69, suppressed=False"
exp_f5ecb6e2,2026-06-10T08:46:56,img_1c77565a16,,,,,120,80,160,25,800,1.0,157.88,255.14,6936.5,MOTION_SUPPRESSED_COOLDOWN,"frames_seen=81, suppressed=True"
exp_41823296,2026-06-10T08:46:56,img_a3848bf53a,,,,,120,80,160,25,800,1.0,157.88,255.14,6936.5,MOTION_SUPPRESSED_COOLDOWN,"frames_seen=82, suppressed=True"
exp_503e18f3,2026-06-10T08:46:57,img_0276b8bf6e,,,,,120,80,160,25,800,1.0,164.7,135.82,31177.5,MOTION_SUPPRESSED_COOLDOWN,"frames_seen=75, suppressed=True"
exp_244c1351,2026-06-10T09:41:08,img_4f3dcd5d39,160,90,480,270,80,80,160,0,0,0,176.25,91.4,0,IMAGE_QUALITY_OK,snapshot
exp_645318a5,2026-06-10T09:41:09,img_94c2861416,160,90,480,270,120,80,160,0,0,0,172.93,75.87,0,BLURRY_IMAGE,snapshot
exp_926d755f,2026-06-10T09:41:10,img_bec00e60c9,160,90,480,270,120,50,100,0,0,0,0.0,0.0,0,LOW_LIGHT,snapshot
exp_0e17510a,2026-06-10T09:41:11,img_1d49740e4f,160,90,480,270,180,50,100,0,0,0,0.0,0.0,0,LOW_LIGHT,snapshot
exp_2e68bcd1,2026-06-10T09:41:11,img_ba627e5a35,160,90,480,270,180,80,160,0,0,0,155.86,1.36,0,BLURRY_IMAGE,snapshot
exp_8756322e,2026-06-10T09:41:12,img_c59a058866,160,90,480,270,180,150,250,0,0,0,178.94,87.27,0,IMAGE_QUALITY_OK,snapshot
exp_66a584e8,2026-06-10T09:41:14,img_a8e95c6c07,160,90,480,270,180,50,100,15,500,0.0,155.35,1.72,2032.5,MOTION_DETECTED,"frames_seen=35, suppressed=False"
exp_477cf819,2026-06-10T09:41:18,img_03cef1662b,160,90,480,270,180,150,250,25,800,1.0,169.27,76.4,1786.0,MOTION_DETECTED,"frames_seen=28, suppressed=False"
exp_a073b481,2026-06-10T09:41:22,img_dd7d82a6ee,160,90,480,270,180,150,250,40,1500,5.0,155.68,2.53,0.0,NO_SIGNIFICANT_MOTION,"frames_seen=29, suppressed=False"
exp_317cfc1c,2026-06-10T10:19:16,img_348415749f,160,90,480,270,186,150,250,0,0,0,139.2,93.47,0,IMAGE_QUALITY_OK,snapshot
exp_ca8cea74,2026-06-10T10:19:24,img_0562ac57f4,160,90,480,270,186,150,250,0,0,0,94.68,43.69,0,BLURRY_IMAGE,snapshot
exp_d3adc659,2026-06-10T10:19:50,img_fbf0803268,160,90,480,270,186,150,250,0,0,0,66.27,28.51,0,BLURRY_IMAGE,snapshot
exp_fa1015d3,2026-06-10T10:20:02,img_68dc192a4e,160,90,480,270,186,150,250,0,0,0,100.65,29.54,0,BLURRY_IMAGE,snapshot
exp_5889e15d,2026-06-10T10:20:12,img_6cca81d5f7,160,90,480,270,186,150,250,0,0,0,191.15,122.57,0,IMAGE_QUALITY_OK,snapshot
exp_8dbe9333,2026-06-10T10:20:30,img_ffe6e09c08,160,90,480,270,80,150,250,0,0,0,141.58,109.47,0,IMAGE_QUALITY_OK,snapshot
exp_2629d580,2026-06-10T10:20:32,img_6fda56336a,160,90,480,270,120,150,250,0,0,0,0.0,0.0,0,LOW_LIGHT,snapshot
exp_fdd56010,2026-06-10T10:20:33,img_6162fe8698,160,90,480,270,180,150,250,0,0,0,151.1,111.41,0,IMAGE_QUALITY_OK,snapshot
exp_f85249ed,2026-06-10T10:20:40,img_087d34ffcc,160,90,480,270,180,50,100,0,0,0,156.39,94.83,0,IMAGE_QUALITY_OK,snapshot
exp_f3f483d5,2026-06-10T10:20:41,img_390177abde,160,90,480,270,180,80,160,0,0,0,159.26,100.05,0,IMAGE_QUALITY_OK,snapshot
exp_2de221db,2026-06-10T10:20:43,img_97a65b3dfc,160,90,480,270,180,150,250,0,0,0,159.69,108.76,0,IMAGE_QUALITY_OK,snapshot
exp_608fe53f,2026-06-10T10:21:35,img_c745deac1c,160,90,480,270,180,151,255,15,500,0.0,161.59,92.93,20143.5,MOTION_DETECTED,"frames_seen=37, suppressed=False"
exp_b028c9d9,2026-06-10T10:21:38,img_5caac60d64,160,90,480,270,80,151,255,0,0,0,163.52,100.37,0,IMAGE_QUALITY_OK,snapshot
exp_2df3a886,2026-06-10T10:21:39,img_57b31817c7,160,90,480,270,180,151,255,25,800,1.0,0.0,0.0,76241.0,MOTION_DETECTED,"frames_seen=18, suppressed=False"
exp_29a2b85b,2026-06-10T10:21:40,img_b043156e10,160,90,480,270,120,151,255,0,0,0,0.0,0.0,0,LOW_LIGHT,snapshot
